Test Category,Test Question,Expected Ground Truth (Pass Criteria),AI Answer,Time Taken (s)
Direct Lookup (Articles),What is Article 5 of the Constitution?,Must retrieve and state rules regarding citizenship at the commencement of the Constitution.,"Article 5 of the United States Constitution is the process for amending the Constitution. It states:

""The Congress, whenever two thirds of both Houses shall deem it necessary, shall propose Amendments to this Constitution, or, on the Application of the Legislatures of two thirds of the several States, shall call a Convention for proposing Amendments, which, in either Case, shall be valid to all Intents and Purposes, as Part of this Constitution, when ratified by the Legislatures of three fourths of the several States, or by Conventions in three fourths thereof, as the one or the other Mode of Ratification may be proposed by the Congress; Provided that no Amendment which may be made prior to the Year One thousand eight hundred and eight shall in any Manner affect the first and fourth Clauses of the ninth Section of the first Article; and that no State, without its Consent, shall be deprived of its equal Suffrage in the Senate.""

In simpler terms, Article 5 outlines the procedure for changing or adding to the Constitution. It requires that:

* Two-thirds of both the House of Representatives and the Senate must approve a proposed amendment (Congressional Approval)
* Or, upon the application of two-thirds of the state legislatures, Congress must call a national convention to propose amendments (State Application)
* The proposed amendment must then be ratified by three-fourths of the states (Legislative Ratification) or by conventions in three-fourths of the states (Conventional Ratification",8.54
Direct Lookup (Articles),What does Article 21 state?,"Must state ""Protection of life and personal liberty.""","Article 21 of the United States Constitution is commonly referred to as the ""Right to Property"" or ""Due Process Clause"". It states:

""No person shall... be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.""

In simpler terms, this means that:

1. The government cannot take away someone's life, freedom, or property without following the law and giving them a fair chance to defend themselves.
2. If the government does take someone's property for a public purpose, such as building a road or a park, they must provide fair compensation to the owner.

This clause is important because it protects individuals from arbitrary or unfair actions by the government, and ensures that they receive just compensation for any property that is taken from them.",4.61
Direct Lookup (Articles),Tell me about Article 1.,Must describe the Name and territory of the Union.,"Article 1 is the first article of the United States Constitution, and it establishes the legislative branch of the federal government. It is also known as the ""Legislative Power"" article.

Here's a breakdown of Article 1:

Section 1: The House of Representatives

* The first section establishes the House of Representatives as the lower house of Congress, with a total of 435 members.
* Members of the House are elected by the people of their respective states for a term of two years.
* The number of representatives each state is entitled to is based on its population.
* The House has the power to initiate revenue bills and impeach federal officials, including the President.

Section 2: The Senate

* The second section establishes the Senate as the upper house of Congress, with a total of 100 members.
* Senators are elected by the people of their respective states for a term of six years.
* The Senate has the power to try impeachments, with the Chief Justice of the Supreme Court presiding.
* The Senate also has the power to ratify treaties and confirm presidential appointments, including Supreme Court justices.

Section 3: The Powers of Congress

* The third section outlines the powers of Congress, including the power to:
	+ Make laws
	+ Regulate commerce
	+ Declare war
	+ Approve presidential appointments
	+ Approve treaties
	+ Coin money
	+ Establish the Supreme Court
	+ Try impeachments",8.4
Direct Lookup (Sections),What is the punishment for theft?,Must accurately cite the punishment details for theft (referencing your mapped section).,"The punishment for theft can vary depending on the jurisdiction, severity of the crime, and the specific laws in place. In general, theft is considered a property crime and can be punished with fines, imprisonment, or a combination of both.

Here are some common punishments for theft:

1. Misdemeanor theft: In many states, theft is classified as a misdemeanor and can be punished with fines up to $1,000 and/or imprisonment for up to one year.
2. Felony theft: If the value of the stolen property exceeds a certain threshold (usually $500 to $1,000), the crime can be upgraded to a felony. Felony theft can be punished with fines up to $10,000 and/or imprisonment for up to 10 years.
3. Grand theft: In some states, theft is classified as grand theft if the value of the stolen property exceeds a certain threshold (usually $5,000 to $10,000). Grand theft can be punished with fines up to $20,000 and/or imprisonment for up to 20 years.
4. Burglary: If the theft involves breaking and entering into a dwelling or other structure, the crime can be charged as burglary. Burglary can be punished with fines up to $50,000 and/or imprisonment for up to life.
5. Embezzlement: If the theft involves the embezzlement of funds or property from an employer or organization, the crime can be punished with fines up to",8.39
Direct Lookup (Sections),Define kidnapping under the code.,Must provide the exact legal definition of kidnapping from the retrieved text.,"Kidnapping is a serious criminal offense that is defined under the Indian Penal Code (IPC), Section 359. According to this section, kidnapping is an act of taking away a person, either by force or by deceit, and without the consent of that person, with the intention to commit a crime or to cause harm to the victim.

The IPC defines kidnapping as:

""Kidnapping from India means the abduction or wrongful confinement of a person, if such abduction or wrongful confinement is committed within India.""

The key elements of kidnapping are:

1. Taking away: The accused must take away the victim from a place where they are present.
2. Without consent: The victim must not have given their consent to be taken away.
3. By force or deceit: The accused must have used force, deceit, or other means to take away the victim.
4. Intent: The accused must have intended to commit a crime or cause harm to the victim.

Kidnapping is a serious crime and is punishable under the IPC. The punishment for kidnapping can vary depending on the circumstances of the case and the age of the victim. In general, the punishment for kidnapping can range from 5 to 7 years of imprisonment, with a fine.

It's important to note that kidnapping is a serious offense and can have severe legal and social consequences. If you or someone you know is a victim of kidnapping, it's important to seek help from the authorities and report the incident immediately.",8.33
Collision Test (Crucial),What is the punishment for murder?,MUST cite Section 103. Must NOT cite Section 105 (Culpable Homicide).,"The punishment for murder varies depending on the jurisdiction and the specific circumstances of the crime. In many countries, murder is considered a serious crime and is punishable by a significant amount of time in prison, often with a life sentence.

In the United States, for example, the punishment for murder can range from life imprisonment to the death penalty, depending on the state and the specific circumstances of the crime. Some states have abolished the death penalty, while others continue to use it.

In the UK, the punishment for murder is typically life imprisonment, with a minimum term of 15 years before the person can be considered for parole.

In other countries, the punishment for murder may be different. For example, in Canada, the punishment for murder is typically life imprisonment with no parole for 25 years. In Australia, the punishment for murder can range from life imprisonment to the death penalty, depending on the state.

It's important to note that the punishment for murder is often influenced by a variety of factors, including the specific circumstances of the crime, the severity of the harm caused, and the intent of the person who committed the crime.",6.33
Collision Test (Crucial),What is culpable homicide not amounting to murder?,MUST cite Section 105. Must clearly distinguish it from actual murder.,"In Indian criminal law, culpable homicide not amounting to murder is a type of offense that is punishable under Section 304 of the Indian Penal Code (IPC). This section states:

""304. Culpable homicide not amounting to murder.—Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or with imprisonment for a term which may extend to ten years, or with fine, or with any of those punishments.""

Culpable homicide not amounting to murder is a type of offense that is less serious than murder, but more serious than causing simple hurt or injury to another person. It is an offense that is committed when a person intentionally causes the death of another person, but without the intention to kill or commit a grievous injury.

Some common examples of culpable homicide not amounting to murder include:

1. Rash and negligent driving: If someone drives a vehicle recklessly and accidentally causes the death of another person, they can be charged with culpable homicide not amounting to murder.
2. Medical negligence: If a doctor or medical professional fails to provide proper medical care and attention, leading to the death of a patient, they can be charged with culpable homicide not amounting to murder.
3. Criminal negligence: If someone is found to be criminally negligent and their negligence leads to the death of another person, they can be charged with culpable homicide not amounting to murder.

The punishment for culpable homicide not amounting to",8.48
Collision Test,What is the difference between theft and extortion?,Must retrieve and combine or sequentially list definitions for both concepts accurately.,"Theft and extortion are both criminal offenses that involve taking something of value from someone else without their consent. However, there is a key difference between the two:

Theft is the unauthorized taking or removal of property from someone else's possession or custody. This can include taking something that belongs to someone else, such as a wallet or a car, or taking something that is on loan or on consignment. Theft can be committed through various means, such as stealing, pilfering, or swindling.

Extortion, on the other hand, is the act of obtaining something of value from someone else through the use of force, threat, or intimidation. This can include demanding money, property, or other valuables from someone in exchange for not harming them or not revealing a secret. Extortion can be committed by someone who has no legal right to the property or information being demanded.

Key differences between theft and extortion:

1. Consent: In theft, the victim does not give their consent to the taking of their property. In extortion, the victim may be forced to give up their property or information under duress or threat.
2. Means: Theft can be committed through various means, such as stealing, pilfering, or swindling. Extortion, on the other hand, is typically committed through the use of force, threat, or intimidation.
3. Purpose: The purpose of theft is usually to obtain property or goods for personal gain. The purpose of extortion is usually to",8.46
Formatting Test,What are the different types of punishments under the code?,MUST list them line-by-line. Must not combine death and life imprisonment into a single run-on sentence.,"In the Indian Penal Code (IPC), there are various types of punishments that can be awarded to an accused person who is found guilty of committing a crime. These punishments are classified into two main categories: punishment and fine. Here are the different types of punishments under the IPC:

**Punishments:**

1. Imprisonment: This is the most common type of punishment, where the accused is sentenced to spend a certain period in prison.
2. Imprisonment for Life: This is a sentence of imprisonment for the rest of the accused's natural life.
3. Transportation: This was a type of punishment that was used in the past, where the accused was sent to a penal colony or a distant place for a certain period.
4. Whipping: This type of punishment is no longer used in India, but it was previously used to punish persons for certain crimes, such as vagrancy or prostitution.

**Fines:**

1. Fine: This is a type of punishment where the accused is required to pay a certain amount of money as compensation for the crime committed.
2. Fine with Imprisonment: In this type of punishment, the accused is required to pay a fine and also spend a certain period in prison.
3. Fine in Default of Payment: This type of punishment is used when the accused fails to pay a fine. In this case, the accused may be required to spend a certain period in prison in addition to paying the fine.

**Other",8.46
Formatting Test,List the exceptions to Section 103.,"Must format the exceptions as distinct points, matching the structural rules of your system prompt.","Section 103 of the Patent Act (35 U.S.C. § 103) is often referred to as the ""non-obviousness"" provision. It states that a claimed invention is patentable if it is not obvious to a person having ordinary skill in the art (PHOSITA). The exceptions to Section 103 are not explicitly listed, but the Supreme Court has established the following principles to guide the analysis:

1. The invention must have a significant technical advancement over the prior art.
2. The invention must have a substantial change or improvement over the prior art.
3. The invention must have a different purpose or function than the prior art.
4. The invention must have an unexpected result or benefit compared to the prior art.

These principles are not exhaustive, and the courts have applied them in various ways over the years. However, they provide a general framework for evaluating whether an invention is non-obvious.

In the context of patent law, the term ""obviousness"" is often used to refer to a situation where a person having ordinary skill in the art (PHOSITA) would have been able to make the same invention without the need for inventive effort. In other words, the invention is considered obvious if it is within the scope of the prior art and does not require any significant inventive steps.

The Supreme Court has established several tests to determine whether an invention is obvious, including:

1. The ""teaching, suggestion, or motivation"" test: This test asks whether the",8.46
