Test Category,Test Question,Expected Ground Truth (Pass Criteria),AI Answer,Time Taken (s)
Direct Lookup (Articles),What is Article 5 of the Constitution?,Must retrieve and state rules regarding citizenship at the commencement of the Constitution.,"Based directly on the provided text, 5. Added by the Constitution (Seventh Amendment) Act, 1956, s. 3 (w.e.f. 1-11-1956).",1.77
Direct Lookup (Articles),What does Article 21 state?,"Must state ""Protection of life and personal liberty.""","Based directly on the provided text, 21. Protection of life and personal liberty.—No person shall be deprived of his life or personal liberty except according to procedure established by law.",1.06
Direct Lookup (Articles),Tell me about Article 1.,Must describe the Name and territory of the Union.,I cannot find the relevant information in the provided legal text.,0.16
Direct Lookup (Sections),What is the punishment for theft?,Must accurately cite the punishment details for theft (referencing your mapped section).,"Based directly on the provided text, 304. (1) Theft is an offence. The punishment for theft is imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",1.54
Direct Lookup (Sections),Define kidnapping under the code.,Must provide the exact legal definition of kidnapping from the retrieved text.,"Based directly on the provided text, 143. (1) Whoever, for the purpose of exploitation recruits, transports, harbours, transfers, or receives a person or persons, by— (a) using threats; or (b) using force, or any other form of coercion; or (c) by abduction; or (d) by practising fraud, or deception; or (e) by abuse of power; or Kidnapping or abducting in order to

Kidnapping or abducting in order to murder or for ransom, etc. Importation of girl or boy from foreign country. Wrongfully concealing or keeping in confinement, kidnapped or abducted person. Trafficking of person.

(2) Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or any foreign State or international inter-governmental organisation or any other person to do or

The definition of 'kidnapping' under the code is explicitly stated in the provided text as: 'Kidnapping or abducting in order to murder or for ransom, etc. Importation of girl or boy from foreign country. Wrongfully concealing or keeping in confinement, kidnapped or abducted person. Trafficking of person.' This definition encompasses various forms of exploitation and",8.86
Collision Test (Crucial),What is the punishment for murder?,MUST cite Section 103. Must NOT cite Section 105 (Culpable Homicide).,"Based directly on the provided text, 103.(1) Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.",1.25
Collision Test (Crucial),What is culpable homicide not amounting to murder?,MUST cite Section 105. Must clearly distinguish it from actual murder.,"Based directly on the provided text, 105. Whoever commits culpable homicide not amounting to murder, shall be punished with imprisonment for life, or imprisonment of either description for a term which shall not be less than five years but which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused; or if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused.",4.59
Collision Test,What is the difference between theft and extortion?,Must retrieve and combine or sequentially list definitions for both concepts accurately.,"Based directly on the provided text, 309.(1) states: 'In all robbery there is either theft or extortion.' This implies that both theft and extortion are forms of robbery. However, the text does not explicitly state the difference between theft and extortion. It does provide definitions for robbery, extortion, and the circumstances under which they are considered to be committed. For example, (3) defines extortion as a form of robbery if the offender puts the person in fear of instant death, hurt, or wrongful restraint. (2) defines extortion as a separate crime punishable with imprisonment for a term which may extend to seven years, or with fine, or with both. Therefore, the difference between theft and extortion appears to be that extortion is a form of robbery that involves putting a person in fear, whereas theft does not necessarily involve fear. However, the text does not provide a clear distinction between the two crimes beyond stating that they are both forms of robbery.",5.78
Formatting Test,What are the different types of punishments under the code?,MUST list them line-by-line. Must not combine death and life imprisonment into a single run-on sentence.,"Based directly on the provided text, 53. Punishments.--The punishments to which offenders are liable under the provisions of this Code are--

First.--Death;

Secondly.--Imprisonment for life;

Fourthly.--Imprisonment, which is of two descriptions, namely:-

(1) Rigorous, that is with hard labour;

These are the specific types of punishments mentioned in the given legal context.",2.55
Formatting Test,List the exceptions to Section 103.,"Must format the exceptions as distinct points, matching the structural rules of your system prompt.",I cannot find the relevant information in the provided legal text.,0.17
Formatting Test,Outline the provisions of Article 19.,"Must cleanly list the various freedoms (speech, assembly, etc.) separately.","Based directly on the provided text, 2[(5) Nothing in this article or in sub-clause (g) of clause (1) of article 19 shall prevent the State from making any special provision, by law, for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes or the Scheduled Tribes in so far as such provision does not contravene any direction which the President may give, either generally or in respect of a particular State or States, that such provision shall not be made.",3.31
Hallucination Shield,What are the legal regulations for flying a drone in India?,"MUST SAY: ""I cannot find the relevant information in the provided legal text.""",I cannot find the relevant information in the provided legal text.,0.18
Hallucination Shield,How do I apply for a driving license in New Delhi?,"MUST SAY: ""I cannot find the relevant information in the provided legal text.""",I cannot find the relevant information in the provided legal text.,0.17
